descricao;ean
XANTINON 100 CPR 10 X10 (-) NYCOMED;7.89664E+12
CARVEDILOL 12,5 MG 30 CPR GEN (+) LEGRAND;7.89492E+12
CISTEIL 600 MG 16 ENV 5 G SIM (-) GEOLAB;7.8991E+12
ACEBROFILINA 50MG/5ML XPE AD 120ML GEN (+) TEUTO;7.89611E+12
DESLORATADINA 5 MG 10 CPR GEN (-) ZYDUS;7.89894E+12
DIPIRONA DISPLAY 24 X 10 CPR GEN (-) LEGRAND;7.89492E+12
AGUA PARA INJECAO 10ML EQUIPLEX;7.89801E+12
CLORETO  DE SODIO 0,9% 500ML (SISTEMA FECHADO)  SORO FISIOLOGICO;7.89801E+12
GLICOSE 5% 500ML (SISTEMA FECHADO)  EQUIPLEX;7.89801E+12
SUXAMETONIO 100MG FA** -;7.89601E+12
CLORETO DE SODIO SOLUCAO FISIOLOGICA 0,9% 100ML BOLSA SIST.FECHADO FRESENIUS;7.89795E+12
COLAGENASE C/ CLORAFENICOL 30G KOLLAGENASE CRISTALIA;7.89668E+12
HIOSCINA  - N-BUTILBROMETO SIMPLES 20MG AMPOLA 1ML HIPOLABOR;7.89812E+12
CLONAZEPAM 0,5MG CRISTALIA;7.89668E+12
CLORIDRATO DE AMITRIPTILINA 25MG CPR TEUTO;7.89611E+12
ACETATO + FOSFATO BETAMETASONA 3MG AMP 1ML UNIAO QUIMICA;7.89601E+12
ACETILCISTEINA 200MG GEOLAB;7.8991E+12
AZITROMICINA 600MG (200MG/5MG) 15ML PRATI, DONADUZZI;7.89671E+12
AZITROMICINA COMPRIMIDO 500MG MEDQUIMICA;7.89686E+12
FLUCONAZOL 150MG CAPSULA MEDLEY;7.89686E+12
CLORETO DE SODIO SOLUCAO FISIOLOGICA 0,9% 250ML FRESENIUS;7.89795E+12
ESPIRONOLACTONA 25MG COMPRIMIDO CELLOFARM;7.89586E+12
ITRACONAZOL 100MG GEOLAB;7.8991E+12
CLORIDRATO DE LEVODOPA + CARBIDOPA 250MG+25MG CRISTALIA;7.89668E+12
ESPIRONOLACTONA 100MG COMPRIMIDO HIPOLABOR;7.89812E+12
CARBONATO DE LITIO 300 MG COMPRIMIDO HIPOLABOR;7.89812E+12
MALEATO DE ENALAPRIL 20 MG COMPRIMIDO ENALAMED CIMED;7.89808E+12
HIOSCINA  - N-BUTILBROMETO + DIPIRONA 10/250MG PHARLAB;7.89822E+12
CLONAZEPAM 2MG EMS S/A;7.896E+12
HALOPERIDOL 1MG COMPRIMIDO HALO CRISTALIA;7.89668E+12
TRAMADOL 50MG CRISTALIA;7.89668E+12
NIMODIPINA 30 MG - CPM VITAPAN;7.89805E+12
SULFAMETOXAZOL + TRIMETROPINA 40 + 8 MG/ML AMP 50ML TEUTO;7.89611E+12
TIAMINA 300MG HIPOLABOR;7.89611E+12
METILDOPA 500 MG COMPRIMIDO SANVAL;7.89614E+12
CLORIDRATO DE SERTRALINA 50MG GEOLAB;7.8991E+12
DIAZEPAN 10MG INJ AMP 2ML CRISTALIA;7.89668E+12
HIDROXIETILAMIDO 6 % VOLUVEN 6% FRESENIUS KABI;7.89795E+12
HIDROXIDO DE ALUMINIO 60MG/ML 240ML SIGMA PHARMA;7.896E+12
BIMATOPROSTA 0,03% SOL OFTALMICA 3ML GEOLAB;7.8991E+12
AZITROMICINA 500MG SOL INJ  IV EUROFARMA;7.89132E+12
CLARITROMICINA 500MG IV F/A ABBOTT;7.89116E+12
ENOXAPARINA 80MG 0,8 ML VERSA EUROFARMA;7.89132E+12
DEXCLORFENIRAMINA 2MG HYSTIN GEOLAB;7.896E+12
METFORMINA 500MG PRATI, DONADUZZI;7.896E+12
ACIDO TRANEXAMICO 50MGML AMPOLA 5ML GENERICO HIPOLABOR;7.89847E+12
AZUL  DE TRYPAN 0,1% 1 ML OFTALMO PHARMA;7.89891E+12
CLORTALIDONA 12,5MG GENERICO GRUPO EMS SIGMA PHARMA;7.896E+12
FOSFATO DE SODIO MONOBASIO E BASICO 500ML (GLICERINA) ENEMA 12% SANOBIOL;7.89815E+12
ENOXAPARINA 40MG 0,4 ML  MYLAN CUTENOX;7.89856E+12
MIDAZOLAM 5MG/ML - 15MG 3ML P 344 B1 DORMIUM GENERICO HIPOLABOR;7.89812E+12
FENITOINA  50MG/ML 5ML P 344 C1 HIPOLABOR;7.89812E+12
FENTANILA 0,05MG/ML - 5ML  (78,5MCG/ML) P344 A1 FENTANEST HIPOLABOR;7.89812E+12
ACETILCISTEINA 200MG/ML  120ML GEOLAB;7.8991E+12
ACIDO TRANEXAMICO 250MG GRUPO EMS SIGMA PHARMA;7.896E+12
CARVEDILOL  25MG GRUPO EMS SIGMA PHARMA;7.896E+12
ENOXAPARINA 20MG 0,2ML SC / IV C/TRAVA  VERSA CUTENOX;7.89856E+12
OXIDO DE ZINCO 200MG/G + NISTATINA 100.000UI/G 60G GENERICO GRUPO EMS SIGMA PHARMA;7.896E+12
SUXAMETONIO 100MG PO INJ SUCCITRAT UNIAO QUIMICA;7.89601E+12
ACIDO TRANEXAMICO 50MGML AMPOLA 5ML BLAUSIEGEL;7.89601E+12
ENOXAPARINA 40MG 0,4ML  C/TRAVA SEG. SC/ IV MYLAN CUTENOX SD;7.89856E+12
ENOXAPARINA 20MG 0,2 ML SC / IV C/TRAVA SEG. MYLAN CUTENOX SD BIOCHIMICO;7.89856E+12
HIOSCINA 20MG 1ML HIPOLABOR;7.89812E+12
TIGECICLINA 50MG PO LIOFOLIO INJETAVEL WYETH;7.89105E+12
ENOXAPARINA 80MG 0,8 ML CUTENOX AGILA;7.89856E+12
AMICACINA 100MG 2ML (50MG/ML AMP 2ML) GENERICO TEUTO;7.89611E+12
CLORTALIDONA 12,5MG HIGROTON NOVARTIS;7.896E+12
CLORETO DE SODIO 0,9% - 500 ML SISTEMA FECHADO (SORO) SAPP-FLEX SANOBIOL;7.89815E+12
MIDAZOLAM 5MG/ML - 3ML (B1) GENERICO HIPOLABOR;7.89812E+12
AMINAFTONA 75MG CAPILAREMA BALDACCI;7.89785E+12
FUMARATO DE FORMOTEROL + BUDESONIDA 12/400 MCG REFIL ALENIA BIOSINTETICA;7.89618E+12
CLORIDRATO DE METFORMINA 850MG COM BL AL PLAS INC GLICEFOR GEOLAB;7.8991E+12
CLAVULANATO POTASSICO + AMOXICILINA SODICA 1G+200MG PO P/SOL INJ FA VD INC DOCLAXIN ARISTON;7.89601E+12
LUVOX 50 MG;7.89625E+12
RISPERIDONA 1 MG/ML;7.89132E+12
CITALOPRAN 20 MG;7.89642E+12
MEMANTINA 10 MG;7.89132E+12
PANTOPRAZOL 40 MG;7.896E+12
RISPERIDONA 2 MG;7.8976E+12
BROMIDRATO DE CITALOPRAM 20MG;1.00009E+12
PENTOXIFILINA 400MG 25 CX;1.0001E+12
CETOCONAZOL 20MG/G 30G;1.00006E+12
AGUA P/ INJECAO;1.00008E+12
ACETILCISTEINA 600MG CX C/16 ENV 5G;1.00006E+12
QUET XR 50MG CX C/30;1.00008E+12
RINOSORO SOL NASAL 30ML;1.00008E+12
LACRIFILM FRS SOL OFT 5MG 10ML;1.00005E+12
ALENIA 12+400MCG CX C/60 CAPS;1.00003E+12
PONDERA 20MG CX C/30CP;1.00006E+12
SULFATO DE MORFINA 0,2MG/ML (AMPOLA 1ML);1.00008E+12
SULFATO DE GENTAMICINA 40MG;1.00001E+12
HEPARINA 5000 UI/ML (AMPOLA 0,25ML);1.00006E+12
ENOXAPARINA 40MG/0,4ML - SERINGA PREENCHIDA - SUBCUTANEALT : 7S819 VL: 30-06-2019;7.89607E+12
ATORVASTATINA CALCICA 20MGLT : 17030473 VL: 31-03-2019;7.89642E+12
REPARIL GEL 30GLT : 406399 VL: 30-06-2019;7.89664E+12
ENOXAPARINA 40MG/0,4ML - SERINGA PREENCHIDA - SUBCUTANEALT : 7S1C4 VL: 30-09-2019;7.89607E+12
ISSORBIDA DINITRATO 10MG COMPLT : 0L9743 VL: 31-05-2020;7.89492E+12
VALACICLOVIR 500MG COMPLT : 0L6343 VL: 31-05-2020;7.896E+12
ISOSSORBIDA 5MG - COMPLT : 0L2883 VL: 31-03-2020;7.89492E+12
ISOSSORBIDA 5MG - COMPLT : 0I2669 VL: 30-09-2019;7.89492E+12
AMYTRIL 25MG C 30CAPS   C3 102 P.M.C. 32.39;7.89668E+12
TORANTE XPE 15MG ML 200ML P.M.C. 73.94;7.89132E+12
VONAU FLASH 8 MG CPR C/10;7.89624E+12
OPTIVE UD C/30 FLACONETES 4ML;7.89732E+12
VALSARTANA 160MG C/30;7.896E+12
CLORIDRATO DE MEMANTINA 10MG C/30  C1;7.89815E+12
CLORIDRATO DE MEMANTINA 10MG C\60  C1;7.89815E+12
FLIXOTIDE SPRAY MG 120 DOSES;7.89602E+12
FLIXOTIDE  SPRAY 250;7.89627E+12
BISSULFATO DE CLOPIDOGREL 75MG C/28;7.89492E+12
VALSARTANA 320MG 30CPD;7.896E+12
MUVINLAX C\20 SACHES;7.89609E+12
TOPIRAMATO 100 MG CPR C/60;7.896E+12
CONCARDIO 5MG 30 COMP;7.89492E+12
CLORIDRATO DE PAROXETINA 20MG C/30CP;7.89492E+12
OXCARBAZEPINA 300 MG CPR C/30;7.89642E+12
DULOXETINA 30MG 30 CAPS;7.896E+12
OXCARBAZEPINA 600 MG CPR C/30;7.89642E+12
DOMPERIDONA 10MG C/30;7.896E+12
DICLORIDRATO DE BETAISTINA 24MG;7.89955E+12
CARVEDILOL 6,25MG C/30;7.89492E+12
TOPIRAMATO 25 MG CPR C/60;7.896E+12
BACLOFEN 10MG C\20;7.89611E+12
DIAZEPAM 10MG C/30     B1;7.89671E+12
SEVOFLURANO (LISTA C1) 100ML FRASCO;7.89741E+12
MEBENDAZOL - SUSP 100MG/ ML;7.89813E+12
CLORETO DE SODIO  10% 10ML;7.89842E+12
GLICOSE HIPERTONICA 50% 10ML;7.89842E+12
FITOMENADIONA (VITAMINA K) 10MG/ML 0,2ML;7.89812E+12
DIMETICONA (SIMETICONA) 40MG;7.89815E+12
AMINOFILINA 240MG/10ML;7.89812E+12
BICARBONATO DE SODIO 8,4% 10ML;7.89842E+12
AMICACINA 250MG/ML SOL INJ 2ML;7.89611E+12
BRAITE ABRILHANTADOR 5LT;7.89814E+12
OFTPRED COLIRIO;7.89618E+12
OPTIVE 15 ML.  NOVA FORMULA;7.89732E+12
MANITOL 20% 250ML BOLSA HALEXISTAR (40);7.89673E+12
HEPARINA SODICA 5.000UI/ML 5ML;7.89601E+12
AMPICILINA 500MG F/A;7.89611E+12
CLORETO DE SODIO 0,9% SOLUCAO INJETAVEL 10ML DE SOLUCAO AMPOLA 10ML;7.89817E+12
CEFEPIMA 1 G - INJETAVEL;7.89611E+12
AGUA DESTILADA 250 ML - SISTEMA FECHADO;7.89795E+12
GLICOSE 5 % SOLUCAO INJETAVEL SISTEMA FECHADO BOLSA 500ML;7.89795E+12
DOBUTAMINA CLORIDRATO 12,5 MG/ML SOLUCAO INJETAVEL AMPOLA 20ML;7.89611E+12
AGUA DESTILADA ESTERIL AMPOLA DE PLASTICO EM POLIETILENO DE 10 ML COM SISTEMA DE ABERTURA TWIST OFF IDENTIFICACAO DO NUM;7.89817E+12
MEBENDAZOL 20MG/ML FRASCO 30ML SUSPENSAO ORAL;7.89813E+12
CLORETO DE POTASSIO 10% AMP 10ML;7.89817E+12
AMICACINA (SULFATO) 500MG/2ML AP (ITEM: );7.89611E+12
DOBUTAMINA (CLORIDRATO) 250MG AP (ITEM: );7.89611E+12
HALOPERIDOL 2MG/ML SOLUCAO ORAL (GOTAS) FRASCO 20ML;7.89601E+12
SEVOFLURANO 250ML FR;7.89741E+12
SEVOFLURANO 250ML FR BIOCHIMICO;7.89741E+12
SORO GLICOSADO 5% 100ML FR;7.89795E+12
LEVOLANDIPINO 2,5MG;7.89611E+12
OLANZAPINA 2,5MG;7.89642E+12
FENOFIBRATO 250MG;7.89732E+12
INDACATEROL (MALEATO) 300MG;7.89626E+12
CLORETO DE POTASSIO 600MG;7.89626E+12
TADALAFILA 5MG;7.89638E+12
MACROGOL + BICARBONATO DE SODIO + CLORETO DE SODIO 14G;7.89609E+12
BRIMONIDINA 0,2% + MALEATO DE TIMOLOL 0,5% - 5ML;7.89732E+12
OXIBUTININA 1MG/ML - 60ML;7.896E+12
CLOBAZAM 20MG;7.89619E+12
MONTELUCASTE DE SODIO 10MG;7.89666E+12
SULFATO FERROSO + ASSOCIACOES;7.89666E+12
CUMARINA 5MG/ML + HEPARINA SODICA 50UI/ML 240ML;7.89664E+12
LEVANLODIPINO 2,5 MG ( NOVANLO);7.89611E+12
BIMATOPROSTA 0,03% - 5ML;7.89732E+12
AGUA BIDESTILADA 250ML FR;7.89795E+12
CLORETO DE POTASSIO 10% 10ML AP;7.89817E+12
TAMOXIFENO (CITRATO) 20MG;7.89601E+12
CALCITRIOL 0,25MCG;7.89586E+12
GLUCAGON 1MG + 1ML DIL;7.89771E+12
ROSUVASTATINA CALCICA 20MG;7.896E+12
ZOLPIDEM (HEMITARTARATO) 10MG;7.8953E+12
SIMETICONA 125MG;7.8953E+12
REPAGLINIDA 1MG;7.89747E+12
PANTOPRAZOL 20MG;7.89492E+12
POLIESTIRENOSSULFONATO DE CALCIO 30G;7.89132E+12
ESTAZOLAM 2MG;7.89116E+12
POTASSIO (CITRATO) 10MG;7.89664E+12
DIVALPROATO DE SODIO 125MG;7.89626E+12
TOFACITINIBE (CITRATO) 5MG;7.89127E+12
ECHINACEA PURPUREA 200MG;7.89982E+12
DENOSUMABE 60 MG;7.89602E+12
CETOPROFENO 100MG CP;7.89106E+12
DEXLANSOPRAZOL 30MG;7.89664E+12
LOCAO HIDRATANTE;7.89804E+12
ENOXAPARINA - 60MG INJ;7.89132E+12
DIVALPROATO DE SODIO - 500MG +;7.89626E+12
ENOXAPARINA SODICA 40MG/0,4ML;7.89741E+12
VITAMINA D;7.89106E+12
ENOXAPARINA SODICA 40MG/0,4ML SG (ITEM: );7.89741E+12
ENOXAPARINA SODICA 60MG/0,6ML SG (ITEM: );7.89741E+12
CARBONATO DE LITIO 300MG (CONTROLADO);7.89812E+12
AMPICILINA 1G - AMP - PO LIOFILIZADO FRASCO AMPOLA;7.89611E+12
GLICOSE 25% 10ML AP;7.89817E+12
VOLUVEN 6% 500ML BO;7.89795E+12
PROTAMINA 1000UI/ML 5ML AP;7.89817E+12
CLOCEF 1G FA;7.89611E+12
TRIDIL 50MG/10ML AP;7.89668E+12
UNI HIOSCIN 10MG CP;7.89601E+12
ECHINACEA PURPUREA 200MG CA;7.89982E+12
ENOXAPARINA SODICA 20MG/0,2ML SG;7.89741E+12
FLUORESCEINA SODICA 1% 3ML FR GTS;7.89732E+12
CARVEDILOL 12,5MG CP;7.89611E+12
00000015128 - SORO GLICOSADO 5% 250ML;7.89795E+12
00000023930 - BETAMETASONA DIPOROP + FOSF DISSODICO 5/2MG/ML;7.89822E+12
00000030082 - CLORETO DE SODIO 10% - 10 ML;7.89842E+12
00000024617 - GLICOSE HIPERTONICA 25% 10 ML;7.89817E+12
00000014132 - BACLOFENO 10MG;7.89611E+12
00000014236 - PENTOXIFILINA 400 MG;7.89601E+12
METILERGOMETRINA SOL.INJ. 0,2 MG/ML  1 ML;7.89601E+12
PHOSFOENEMA 130ML FR;7.89668E+12
CARVEDILOL 25MG;7.89611E+12
ENOXAPARINA SODICA 40MG/0,4ML SG (ITEM: 5);7.89601E+12
METILERGOMETRINA (MALEATO) 0,2MG/ML 1ML AP (ITEM: 7);7.89601E+12
OLEO MINERAL 100ML FR (ITEM: 4);7.89785E+12
OLEO MINERAL 100ML FR (ITEM: );7.89785E+12
OLEO MINERAL 100ML FR (ITEM: 5);7.89785E+12
LORATADINA 10MG - COMP;7.8991E+12
ISOSSORBIDA 20MG - COMP;7.89618E+12
GLIBENCLAMIDA 5MG CP;7.8991E+12
VALERATO DE BETAMETASONA 1MG/G 30G POMADA PHARLAB;7.89822E+12
SINVASTATINA 20MG (SINVASTON) SANVAL;7.89614E+12
REPOFLOR 200MG (SACCHAROMYCES)  LEGRAND;7.896E+12
CLORETO DE SODIO 20% 10ML (SORO FISIOLOGICO) SAMTEC;7.89842E+12
ALCOOL 70% 100ML ANTI-SEPTICO FARMAX FARMAX - DISTRIBUIDORA AMARAL;7.8969E+12
VITAMINA A + VITAMINA D + OXIDO DE ZINCO 45G NATIVITA;7.89785E+12
EPINEFRINA 1MG/ML 1ML  IV/IM/SC (ADREN) HIPOLABOR;7.89812E+12
AMICACINA  SULF 50MG/ML 2ML IV/IM TEUTO;7.89611E+12
CLORETO DE SODIO 0,9% 100ML (SORO FISIOLOGICO) FRESENIUS;7.89795E+12
CLORETO DE SODIO 0,9% 500ML SISTEMA FECHADO (SORO FISIOLOGICO) FRESENIUS;7.89795E+12
AGUA OXIGENADA 10V 1 LITRO FARMAX;7.8969E+12
PARACETAMOL 32 MG SUSP 60 ML (GER);7.896E+12
CETOCONAZOL 30G;7.89822E+12
HEDERAFLUX  100  ML   XAROPE;7.89633E+12
FRENOTOSSE XRPE 120 ML MEL+MENTA;7.89652E+12
TRANSPULMIN XRPE 150 ML MENTA;7.89666E+12
SULFATO FERROSO 40MG COMPRIMIDO;7.8993E+12
DIGOXINA 0,25MG;7.89611E+12
ACIDO TRANEXAMICO 50MG/ML 5ML;7.89847E+12
AMOXICILINA 1 G  + CLAVULANATO 0,2 G;7.89601E+12
CLARITROMICINA 500MG SUSP. INJ;7.89116E+12
CLORETO DE SODIO 0,9% 500 ML;7.89795E+12
DOBUTAMINA CLORIDRATO 12,5 MG/ML SOL. INJ. AMPOLA;7.89611E+12
ENOXAPARINA SODICA INJETAVEL 40 MG SERINGA 0,40ML;7.89741E+12
HEPARINA SODICA 5.000UI/0,25ML SUB-CUTANEA CRISTALIA;7.89668E+12
GLICOSE HIPERTONICA 25% AMPOLA 10ML;7.89817E+12
CITRATO DE FENTANILA 50 MCG/ML  AMP 10ML;7.89847E+12
NITROGLICERINA 5MG/ML;7.89668E+12
SIMETICONA 40MG COMPRIMIDO;7.89815E+12
NOREPINEFRINA ( NORADRENALINA ) 2 MG/ML;7.89812E+12
OLEO MINERAL 100 ML FRASCO;7.89892E+12
LEVOFLOXACINO 500MG/100ML;7.89836E+12
ISOSSORBIDA (DINITRATO)10MG;7.89492E+12
DOBUTAMINA (CLORIDRATO) 250MG;7.89611E+12
AMINOFILINA 240MG/ML 10ML;7.89812E+12
ZARCAO PITBULL 225ML CINZA;7.89718E+12
BESILATO DE ANLODIPINO 5 MG C/ 30 CP;7.89642E+12
GLUCONATO DE CALCIO 10% AMPOLA 10ML SOLUCAO INJETAVEL;7.89836E+12
SOLUCOES HIDROELETROLITICAS E CORRETORAS DO EQUILIBRIO ACIDO - BASE, PRINCIPIO ATIVO: CLORETO DE SODIO SOLUCAO ESTERIL E;7.89801E+12
NITROP 50MG 2ML;7.89812E+12
ARISCORTEN 100MG;7.89601E+12
DICLOFENACO DE POTASSIO 50 MG - COMPRIMIDO;7.8991E+12
VITAMINA C 500 MG;7.89813E+12
NISTATINA 25.000UI/G 60G TB + 14 APLICADORES;7.89815E+12
AMICACINA (SULFATO) 250MG/ML 2ML AP;7.89611E+12
GABAPENTINA 600 MG CAPS C/27 (C1) (GER);7.896E+12
DIVALPROATO SOD 500 MG CPR C/20 (C1)(ZYD;7.89893E+12
CLOR VENLAF 150 MG CPR C/28 (C1) (EUR);7.89132E+12
*VALPAKINE 500MG 40CPR;7.8976E+12
CEFTRIAXONA 1G INJ;7.89611E+12
TOPIRAMATO 50MG CX C/ 60 COMP GEN PORT 344/98 C1 - ZYDUS;7.89893E+12
PVPI TOPICO FR 1000ML;7.8969E+12
NITROGLICERINA TRIDIL 5MG/ML INJ AMP 10ML IV;7.89668E+12
METILERGOMETRINA 0,2MG INJ CX 50 AMP 1ML EV IM;7.89601E+12
ACIDO TRANEXAMICO 250MG/5ML IN BLAU;7.89601E+12
BETA LONG 3+3MG/ML INJ CX C/ 25 AMP X 1ML IM - UQ SIMILAR;1.00008E+12
OLEO MINERAL 100 ML ( LEVELAX ) C/48 VD;7.89895E+12
AMINOFILINA 100MG CX C/ 20 COMP GEN - TEUTO GEN;1.00009E+12
CLORIDRATO DE DILTIAZEM 60MG;1.00001E+12
CLORIDRATO DE DILTIAZEM 30MG;1.00008E+12
HEPARINA SODICA (HEPAMAX) 5000UI/ML INJ CX C/ 25 FR X 5ML - BLAU;7.89601E+12
UNI HIOSCIN 10MG CP .;7.89601E+12
CLOR AMBROXOL AD XPE 30MG/5ML C/120ML (GER);7.896E+12
METILPREDNISOLONA 500MG 25FAM+DILGEN-NOVAFARMA LT;7.89821E+12
HIDROXIETILAMIDO 60MG/ML SOL INJ SIST FECHADO BLS 500ML IV/AD/PED VOLUVEN FRESENIUS;7.89795E+12
GLIBENCLAMIDA 5MG - COMPRIMIDO;7.8991E+12
RANITIDINA, CLORIDRATO 150MG  COMPRIMIDO - 25%;7.89686E+12
AMICACINA, SULFATO SOL. INJ. 250MG/ML AMP. 2ML - AMPOLA;7.89611E+12
CLORETO DE SODIO SOL. ISOTONICA INJ. 0,90% AMP. 10ML;7.89817E+12
GLIBENCLAMIDA 5MG COMP;7.8991E+12
VITAMINA A + D + OXIDO DE ZINCO 45G TB;7.89773E+12
PREDNISOLONA (FOSFATO SODICO) 3MG/ML 100ML FR;7.89815E+12
CETOTIFENO 0,2MG/ML XPE 120ML;7.896E+12
CLENIL HFA 50MCG SPRAY C/200 DOS FP;7.89667E+12
HIDROXIDO FERRICO 20MG/5ML SUCROFER 100MG/5ML AMP;2E+12
SULFATO FERROSO COMP. 0489714 VAL 01/2020;7.89611E+12
GLUCONATO DE CALCIO 10% 100MG/ML 10ML;7.89795E+12
ACETILCISTEINA 200MG 1 CPR;7.896E+12
CLORIDRATO DE SERTRALINA 25MG;7.89132E+12
GINKGO BILOBA 80 MG;7.89652E+12
DIPROPRIONATO DE BECLOMETASONA 400 MG;7.89626E+12
MICARDIS 80MG/12 MG;7.89603E+12
CALCIO+VITAMINA D3 CPR;7.8981E+12
LIPLES 100MG CPR;4.71278E+12
RISPERIDONA 1MG CPR;7.89668E+12
SINVASTATINA 40MG CPR;7.8981E+12
PANTOPRAZOL 40MG CPR;7.8976E+12
CLOMIPRAMINA SR 75MG CPR;7.89492E+12
BETAMETASONA+CALCIPOTROL 50MCG/G TB 30G;5.70219E+12
LEVOID 25MG CPR;7.89666E+12
QUETIAPINA 25MG CPR;7.89018E+12
PIASCLEDINE 300MG CPR;7.89625E+12
OSSOTRAT D CPR;7.89345E+12
THIOCTACID MR 600MG CPR;7.89732E+12
SUSTRATE;7.89804E+12
VALERIMED 50MG CPR;7.89652E+12
SULFASSALAZINA 500MG CPR;7.896E+12
VITALUX PLUS OMEGA 3 CPR;7.89626E+12
OCUPRESS COLIRIO FR 5ML;7.89601E+12
REUQUINOL 400MG CPR;7.89664E+12
RAMIPRIL 5MG CPR;7.89642E+12
PIOTAZ 45MG CPR;7.89603E+12
PARACETAMOL+FOSF CODEINA 30MG CPR;7.89132E+12
CITALOPRAN 20MG C/30;7.896E+12
ROSUVASTATINA 10MG CPR;7.8976E+12
OLANZAPINA 10MG CPR;7.89132E+12
MISSNER MICROPOROSA 2,5 X 4,5,;7.89654E+12
LUVAS DESCARPACK M,;7.89828E+12
RIALCOOL 70% 50ML,;7.89778E+12
COMPRESSA DE GAZE ESTERIL C/10 SANFARMA,;7.89811E+12
USE IT CURATIVOS C/10,;7.89891E+12
FARMAIODINE  100 ML,;7.8969E+12
VENAFLON 450+50MG CX 30 COMP;7.89611E+12
ANSITEC 5MG CX 20 COMP;7.89609E+12
COMBIGAN FR 10ML;7.89732E+12
DECONGEX PLUS CX 12 COMP;7.89666E+12
DARAPRIM 25MG C/30 COMP;7.89804E+12
RETEMIC - 5MG CX 30 COMP;7.89664E+12
CLEXANE 20MG SOL INJ 2SER PREENCH X 0,2ML+SIST S;7.89106E+12
MESALAZINA 400MG CX 30 COMP REV;7.89671E+12
LUMIGAN RC 0,01% FR 5ML;7.89732E+12
GANFORT SOL ESTERIL 5 ML;7.89732E+12
COMBODART 0,5+0,4MG CX 90 CAP;7.89602E+12
DIOSMIN SDU 900+100MG CX 30 SACHES X 5G;7.89666E+12
DIAMICRON MR 60MG CX 30 COMP;7.89803E+12
VENLAXIN 75MG CX 30 CAP LIB PROL;7.89132E+12
URSACOL - 300MG CX 30 COMP;7.89807E+12
URBANIL 20MG FR 20 COMP;7.89619E+12
DRENATAN 0,05MG/ML SOL OFT FR X 2,5ML;7.896E+12
DIPROSONE POM BG 30G;7.89114E+12
DIPROSONE CREME BG 30G;7.89114E+12
LYRICA 75MG CX 28 CAP;7.89127E+12
TORLOS 100MG CX 30 COMP;8.90222E+12
ALENDIL 70MG CX 4 COMP;7.89804E+12
LUMIGAN FR 5ML;7.89732E+12
PREDNISOLONA 20MG CX 10 COMP;7.89618E+12
BRONDILAT AD XPE FR 120ML;7.89666E+12
BIMATOPROSTA SOLUCAO OFTALMICA;7.896E+12
LAMOTRIGINA 50MG 30CPR;8.90222E+12
NEBLOCK 5MG 60CPR NEBIVOLOL;8.90222E+12
CLORID.AMILO+HIDRO 5/50MG 30CPR;7.896E+12
MONTELUCASTE SODICO 5MG 30CPR;7.89618E+12
TIBOLONA 2,5MG C/28;7.896E+12
MESILATO DOXAZOSINA 4MG 30CPR;7.89172E+12
PREGABALINA 75MG 30CAPS C1;7.89172E+12
LORAZEPAM 2MG 30CPR;7.89611E+12
ALPRAZOLAM 1MG 30CPR B1;7.8953E+12
ALPRAZOLAM 2MG 30CPR;7.89492E+12
CLORID.VENLAFAXINA 75MG 30CAPS;7.8991E+12
BIMATOPROSTA SOL OFTALMICA;7.89642E+12
CLORID.TRAMADOL 50MG 10CPR A2;7.89671E+12
LANTUS 100 UI 10 ML GLARGINA;7.89106E+12
GLICOSAMINA 1,5G SUSP. ORAL 30ENV;7.8953E+12
LATANOPROSTA+TIMOLOL COL;7.896E+12
CLORID.METFORMINA LP 500MG 30CPR;7.89955E+12
MENELAT 30 MG 28CPR MIRTAZAPINA;8.90222E+12
TIBOLONA 2.5MG 28CPR;7.89671E+12
ATORVASTATINA 20MG 30CPR;7.89652E+12
ARTICO PO 30SACHES 5G GLICOS + CONDROET;7.89132E+12
GLICOSE 5 500ML CX30 FRESENIUS;7.89795E+12
RIOPAN GEL 240 ML;7.89664E+12
SOL FISIOL 0,9 500ML SORIMAX;7.8969E+12
TRIAXON IV-1G PO INJ CX 50 F/A;7.89611E+12
ERGOMETRIN-0,2MG INJ CX 50AMP X 1ML EV/IM;7.89601E+12
INDAPAMIDA-1,5 MG CX 30 COMP GEN;7.896E+12
NASOLIVE-0,9% GTS CX 100 FR 30ML C/C;7.89817E+12
TRISORB SOL 15ML P.M.C. 21.08;7.89655E+12
TRISORB SOL 15ML;7.89655E+12
ALCOOL 70% 50ML EVER;7.89895E+12
AG.OXIG 10V.100ML EVER;7.89895E+12
POVIDINE 100ML;7.89719E+12
TAMARINE GELEIA 150G ZERO ACUCAR;7.89732E+12
LEUCOGEN XPE 120ML;7.89666E+12
TROPINAL SOL 15ML;7.89492E+12
ALBIOMIN 20% 50ML(P);4.03612E+12
CARVEDILOL 12,5MG 30CP(G)EMS;7.896E+12
CARVEDILOL 03,125MG 30CP(G)LEG;7.89492E+12
CARVEDILOL 12,5MG 30CP(G)GMD;7.896E+12
PARACETAMOL 200MG/ML GTS 15ML(G)FAR;7.89817E+12
QUETIAPINA 100MG C/30;7.896E+12
REMERON SOLTAB 15 MG CPR C/30       (C1);7.89757E+12
ANESTESICO TOPICO COM 20% DE BENZOCAINA-DIVERSOS;2.0464E+12
ANESTESICO TOPICO GEL 5% 12G.;2.0464E+12
