description|ean
SERINGA INSULINA BICO SIMPLES 1ML 13 X 3,8/SR|7890000000000
BENZOATO DE BENZILA ESCAB IFAL 60ML FR/IFAL|7898020000000
BAMIFIX 300MG COMP/CHIESI|7896670000000
LIVGAS 40MG C/20 COMP/MEDQUIMICA|7896860000000
GLICOSE 50% AMPOLA 10ML/SAMTEC|8902220000000
GLICOSE 5% 250ML/SANOBIOL|7898150000000
CITRATO DE FENTANILA 50MCG/ML SOL INJ AMP 10ML/A1|7896680000000
ADENOSINA 3MG/ML SOL INJ AMP 2ML/HIPOLABOR|7898470000000
CLINDAMICINA 600MG AMP 4ML|7898210000000
SEVOFLURANO 1MG/ML SOL 100ML FR/BIOCHIMICO|7897410000000
SORO GLICOSADO 5% 500ML FR/FRESENIUS KABI|7890000000000
GUA INJECAO 10 ML AMP/ISOFARMA|7890000000000
DORMIRE MIDAZOLAM 5MG/ML 3ML/CRISTALIA/B1|7890000000000
DORMIRE MIDAZOLAM 5MG/ML INJETAVEL AMP 10ML/B1|7896680000000
HIDRALAZINA APRESOLINA 25MG COMP/NOVARTIS|7896260000000
SULFATO FERROSO FERSIL 125MG/ML 30ML/HIPOLABOR|7896110000000
ACIDO VALPROICO DEPAKENE 250MG COMP/ABBOTT|7891160000000
CLORIDRATO DE NORTRIPTILINA 25MG CAPS/EUROFARMA LICITACAO/C1|7891320000000
CLENIL HFA 250MCG C/200 SPRAY AER ORAL/CHIESI|7896670000000
APIXABANA ELIQUIS 5MG COMP/PFIZER|7896020000000
OXIMAX 400MG C/30 CAPS/MANTECORP|7891140000000
EMPAGLIFLOZINA JARDIANCE 25MG COMP/BOEHRINGER|7896030000000
BISOPROLOL 5MG COMP|7896000000000
SORO RINGER COM LACTATO 500 ML|7897950000000
GLICOSE SOLUCAO ESTERIL E APIROGENICA, 5%, 250ML|7896140000000
GLICOSE, 5%, 250ML|7898920000000
RINGER LACTATO, 500 ML|7898920000000
SILDENAFILA 25MG|7896000000000
SORO GLICOSADO 5%, 250ML|7897950000000
REMILEV 250/60MG C/20 COMP-OUTROS|7896660000000
ACETILCISTEINA,  40MG/ML , XAROPE 120ML -  GEOLAB|7899100000000
LORATADINA 1MG/ML , XAROPE -  PRATI|7898150000000
NIMODIPINO, 30MG - VITAMEDC|7898050000000
SOLUCAO  ISOTONICA  INCOLOR  E  INODORA  COM  0,9%  DE CLORETO   DE   SODIO   EM   AGUA   DESTILADA,   EMBALAGEM PLASTIC|7897950000000
SOLUCAO  ISOTONICA  INCOLOR  E  INODORA  COM  0,9%  DE CLORETO DE SODIO EM AGUA DESTILADA, EMBALAGEM PLASTICA MALEAVEL|7897950000000
SOLUCAO  ISOTONICA  INCOLOR  E  INODORA  COM  0,9%  DE CLORETO DE SODIO EM AGUA DESTILADA,   EMBALAGEM PLASTICA  MALEAVE|7897950000000
ATROPINA SULFATO 0,25MG/ML 1ML ( ATROPINA SULFATO 0,25MG/ML 1ML )|7898170000000
GLICOSE HIPERTONICA 50%  (50MG/ML)  SOLUCAO  INJETAVEL AMPOLA PLASTICA 10ML|7898170000000
ACETILCISTEINA  600MG GRANULADO SACHE/ENVELOPE 5G|7899100000000
DEXAMETASONA 4MG COMPRIMIDO|7896110000000
SORO FISIOL.  0,9% 500 ML  -SANOBIOL|7898150000000
ALLEXOFEDRIN D 60 +120 MG 10 CP FEXOFENADINA EMS.|7896000000000
ANEMIFER XPE 100 ML SULF FERROSO PHA.|7898010000000
ACIDO FUSIDICO+BETA G. NQM 20/1 MG/G CR 15 G (*)|7895300000000
GLIBENCLAMIDA G. NEO 5 MG 30 CP|7896710000000
CLINDAMICINA G. EMS 300 MG 16 CA (*)|7896000000000
MESALAZINA G. EMS 800 MG 30 CP|7896000000000
CETOCONAZOL+BET+NEOM G. EMS POM 30 G (*)|7896000000000
VALSARTANA G. EMS 320 MG 30 CP|7896000000000
MICOTIAZOL FR 50 ML ACIDOS+ IO. MET. CAZ.|7893740000000
FIBIRAX PLANT 10 ENV EFEV PLAN OVATA NQM.|7895300000000
XAROPE GUACO 150 ML S/ ACUCAR MIK GLO SPR NAT.|7898130000000
ARTICO 500MG+400MG C/90 CAPS|7891320000000
NITROFURANTOINA 100MG CX 28 CAP|7896110000000
AGUA DESTILADA SISTEMA FECHADO 500ML -|7898150000000
CLORETO SODIO SF 09 100ML -|7897950000000
SUCCINATO SODICO HIDROCORTISONA 100MG SOLINJC50 -|7896010000000
BUTILBROMETO ESCOPOLAMINADIPIRONA SODICA 10250MG -|7898220000000
LAMOTRIGINA 50MG -|7896420000000
LAMOTRIGINA 25MG -|7896420000000
ESCOPOLAMINADIPIRONA SODICA 10250MG -|7898220000000
ESPONJA CIRURGICA PARA ASSEPSIA DAS MAOS CLOREXIDINA 2 -|7897780000000
CLOXAZOLAM 2MG -|7896260000000
HEMITARTARATO ZOLPIDEM 10MG -|7896000000000
GLIMEPIRIDA 4MG -|7896000000000
TELMISARTANA 80MG -|7896000000000
ROSUVASTATINA CALCICA 10MG -|7896000000000
ACETILCISTEINA 200MG ENV|7899100000000
NITROGLICERINA 5MG ML AMP 5ML (25MG)|7896680000000
SULFATO FERROSO 125MG ML 30 ML GOTAS|7898130000000
CLORETO DE SODIO 0,9% 250ML|7897950000000
REPOFLOR 100MG CX 12 CAPS|7896000000000
PANTOPRAZOL 40MG CX 56 COMP REV GEN|7895300000000
LAXENOL FR 100ML PURO S/C|7898130000000
ALUMIMEC 60MG/ML SUSP ORAL 100ML C/C|7898180000000
CITRATO DE SILDENAFILA 50MG CX 2 COMP REV GEN|7899100000000
ZYLINOX 10MG CX 20 COMP REV|7898910000000
ALLEXOFEDRIN D 60+120MG CX 10 COMP REV|7896000000000
CLORIDRATO DE TICLOPIDINA 250MG CX 30 COMP REV GEN|7896000000000
DESVE 50MG CX 30 COMP REV|7891320000000
CLORIDRATO DE DORZOLAMIDA 2% SOL OFT GTS FR 5ML ADUL GEN|7896000000000
COLPOTROFINE 10MG CX 20 CAPS VAG|7898920000000
PRISTIQ 50MG CX 28 COMP REV|7891050000000
REPOFLOR 200MG CX 4 ENV 1G PED SB MORANGO|7896000000000
ROSUVASTATINA CALCICA 10MG CX 30 COMP GEN|7896000000000
CLORIDRATO DE CLINDAMICINA 300MG CX 16 CAPS GEN|7896110000000
ECALTA 100MG INJ CX 1 AMP + DIL|7891270000000
METHERGIN 0,125MG CX 12 DRG|7896260000000
ENOXALOW 60MG INJ CX 10 SER PRE-ENCH 0,6ML IV|7896010000000
NORIPURUM 100MG/2ML INJ CX 5 AMP X 2ML IM+ 5 AG LO|7896640000000
GLICOSE 5%  500ML SOL INJETAVEL BOLSA PLASTICA|7898010000000
SYMBICORT TURBU 6/200MCG 60D|7896210000000
IRESSA 250MG 30CPS|7896210000000
ZYPRED 3M+10MG/ML SUS OFT C/ ML|7897320000000
DOXICLIN 100 MG C/ 15 CP REV|7898220000000
OXALATO DE ESCITALOPRAM 15 MG|7896000000000
TRAVOPROSTA 0,04MG SOL OFT 2,5ML (NVQ)|7895300000000
MESALASINA G GER 800MG|7896000000000
VALSARTANA 160MG|7896000000000
DICLOFENACO DIETILAMONIO 60GR TEUTO|7896110000000
CLORIDRATO VENLAFAX 37.5 MG|7891320000000
ANESTESICO TOPICO POTE C/12 G|7894590000000
ANESTESICO TOPICO GEL TUTIFRUTI 12G|7894590000000
LEVOTIROXINA SODICA 125 MCG C/ 30 COMP|7896010000000
TIBOLONA 2,5 MG C/ 30 COMP|7896010000000
TRAVOPROSTA 0,04MG ML 2,5ML MED|7896420000000
SIMETICONA 75 MG / ML|7898150000000
DEPAKENE 500 MG CX C/50 CP (C1)|7891160000000
BACLOFEN 10 MG CX 20 CP|7896110000000
SORO FISIOLOGICO 0,9%|7898920000000
ACIDO GRAXOX+VITAMINA E 100 ML|7898950000000
CARMELOSE|7896010000000
DOMPERIDONA 10 MG|7896000000000
ANLODIPINO 10 MG|7896710000000
DEFLAZACORTE 6 MG|7895300000000
DIAZEPAM 5 MG/ML - 2 ML|7896680000000
CLORIDRATO DE DULOXETINA 60MG|7895300000000
SORBITOL + LAURISULFATO DE SODIO 6,5G|7891320000000
MUVINLAX 20SA 14G P.M.C. 42.28|7896090000000
CLENIL HFA 50MCG SPRAY 200DS  FP P.M.C. 51.25|7896670000000
LUFTAL 15ML P.M.C. 23.20|7896020000000
DEPAKENE 250MG 100ML  C1 P.M.C. 18.14|7891160000000
NORADOP 150MG C/60 COMP|7895300000000
DIABINESE 250MG C 30 COMP|7891270000000
DULOXETINA 60MG C/30 CPS|7894920000000
FLAVONID 500MG C/60 CPR|7896710000000
CLOPIPAX 75MG C/ 28 CPR|7895300000000
AMINOFILINA 100MG C/20 CPR|7896110000000
BIMATOPROSTA 03MG 3 ML|7895300000000
DESVE 100MG C/CPR|7891320000000
PREGABALINA 75MG C/30 CPR|7896420000000
ARTICO C/30 SACHES|7891320000000
ARTROLIVE C/90 CAPS (PBM)|7896660000000
CONDROFLEX PO C/30 SACHES  PBM|7892950000000
SIMETICONA 40MG C/20 CPR|7898150000000
MELOXICAM 15MG C/10 CPR|7895300000000
CISTEIL 600MG C/16 SACH|7899100000000
TURNO 10MG C/20 CPR|7891320000000
DEPAKOTE SPRINKLE 125MG C/30 CAPS|7896260000000
DOMPERIDONA 10MG C/30 CPR|7895300000000
TAMARINE 20 CAPS|7896180000000
ROSUVASTATINA 20MG C/30 CPR|7896000000000
VENLAFAXINA 150 MG C/30 CPS|7899100000000
ROSUVASTATINA 10MG C/30 CPR|7895300000000
GALANTAMINA 16MG C/28CPR|7895300000000
COLCHIN 05MG C/20 CPR|742832000000
PENTOXIFILINA 400MG C/30 CPR|7896000000000
DEPAKOTE ER 500MG C/60 CPR|7891160000000
MIRUGELL COLIRIO FR 15ML|7896180000000
DEPAKOTE ER 500MG C/30 CPR|7896260000000
CUTENOX 60MG SOL INJ C/ 2 SERINGAS 06ML|7898560000000
RUSOVAS 5MG C/60 CPR|7894920000000
DPREV 2000 UI C/ 60 COMP|7896320000000
TOPIRAMATO 50 MG CPR C/60 (ZYD)|7898930000000
ESOP 20MG C/28 CPR|7895300000000
DOBEVEN 500MG C/60 CPR|7896640000000
MIOCARDIL 30MG C/30 CPR|7898050000000
DEPAKOTE SPRINKLE 125MG C/30 CPR|7891160000000
VENLIFT OD 150MG C/30 CPR|8903860000000
PIOGLITAZONA 30MG C/30 CPR|7895300000000
ENDROSTAN 70MG C/4COMPS|7893450000000
DIABINESE 250MG C/100 CPR|7891270000000
CANDESARTANA 16MG C/30 CPR|7895300000000
TEOLONG 100MG C/30 CAPS|7896260000000
FERRIPROX 500 MG C 100 CAPS.|7896670000000
INDAPAMIDA 15 MG C/30 CPR|7896000000000
LOSARTANA+HCT 50/125MG C/30 CPR|7894920000000
SOYNATI 150MG CX 30 CAPS|7898010000000
ARTOGLICO SUSP 30 SACHET 15G|7894920000000
TRAVOPROSTA 25ML|7895300000000
SPIRIVA RESPIMAT 25MCG (PBM)|7896030000000
VALSARTANA 320MG C/30 CPR|7896000000000
DULOXETINA 60MG C/30 CAPS|7895300000000
EQUIPALAZONE INJETAVEL 100ML|7898210000000
BENZOCAINA 20%|7894590000000
KELTRINA PLUS 60ML|7896470000000
BENALET 12PAST MENTA|7891270000000
LAMICTAL 50MG 30CPR|7896270000000
MUVINLAX 20SACHES 14G|7896090000000
VICOG 30CPR|7896230000000
VIAGRA 50MG 4CPR|7891270000000
HEMITARTARATO DE ZOLPIDEM 10MG 20CPR EMS|7896000000000
PARACETAMOL GTS 15ML PRATI|7898150000000
NEOCATE LCP 400GR|5016530000000
ESCOVA  DE DEGERMANTE C/PVPI|7896680000000
DEFLAZACORTE 6 MG 20 CPR GEN (+) LEGRAND|7894920000000
SUAVICID CREME 30GR SIM (-) LEGRAND|7896000000000
BETAMETASONA + GENTAMICINA CR 30 G GEN (-) TEUTO|7896110000000
PROMETAZINA 25 MG COMPRIMIDO PAMERGAN CRISTALIA|7896680000000
MUPIROCINA CREME 20MG TUBO COM 15G CRISTALIA|7896680000000
MEROPENEM INJETAVEL 1GR TEUTO|7896110000000
ENOXAPARINA SODICA SOLUCAO INJETAVEL 40MG SERINGA 0,40ML CUTENOX MYLAN|7898560000000
CLORIDRATO DE BIPERIDENO 2MG UNIAO QUIMICA|7896010000000
SULFATO DE MAGNESIO 10% AMPOLA 10ML SAMTEC|7898420000000
CLORPROMAZINA 100MG COMPRIMIDO UNIAO QUIMICA|7896010000000
DIMETICONA 40MG COMPRIMIDO PRATI, DONADUZZI|7898150000000
IMUNOGLOBULINA ANTI-RHO 300MCG 2ML IM/IV CSL BEHRING RHOPHYLAC|7897500000000
NIMODIPINA 30 MG - CPM VITAMEDIC|7898050000000
DIPROPIONATO BETAMETASONA + FOSFATO BETAMETASONA 5MG/ML + 2MG/ML 1ML CRISTALIA|7896680000000
CARVEDILOL 12,5MG COMPRIMIDO BIOLAB|7896110000000
VALPROATO DE SODIO 500MG BIOLAB|1234570000000
MIDAZOLAM 50MG AMP 10ML UNIAO QUIMICA|7896010000000
DIAZEPAN 10MG COMPRIMIDO SANTISA|7896680000000
MISOPROSTOL 25MCG COMPRIMIDO HEBRON|7896690000000
HIOSCINA  - N-BUTILBROMETO SIMPLES 20MG AMPOLA 1ML FARMACE|7898170000000
ENOXAPARINA SODICA SOLUCAO INJETAVEL 60MG SERINGA 0,6ML CUTENOX MYLAN|7898560000000
LEVOFLOXACINA 500 MG FRASCO COM 100ML ISOFARMA|7898360000000
CLORETO DE POTASSIO  10%  - 10ML SAMTEC|7898420000000
CLORETO DE SODIO SOLUCAO FISIOLOGICA  20% AMPOLA 10ML SAMTEC|7898420000000
CARVEDILOL  6,25 MG GENERICO GRUPO EMS SIGMA PHARMA|7896000000000
SEVOFLURANO 100ML  C1 CRISTALIA|7896680000000
HIOSCINA 10MG UNIAO QUIMICA|7897920000000
GLICOSE 5% 500ML  - SISTEMA FECHADO SEGMENTA|7898920000000
BUTILBROMETO DE ESCOPOLAMINA 20 MG/ML FARMACE|7898470000000
SEVOFLURANO 250ML CRISTALIA|7896680000000
SUCCINATO DE METOPROLOL 50MG GENERICO MEDLEY|7896210000000
ACETILCISTEINA 40 MG/ML 120ML GRUPO EMS SIGMA PHARMA|7896000000000
CLORETO DE SODIO 0,9% 250ML - SISTEMA FECHADO EUROFARMA|7898920000000
CABERGOLINA 0,5MG CRISTALIA|7896680000000
RINGER C/ LACTATO DE SODIO 500ML FRESENIUS KABI|7897950000000
ACETILCISTEINA 600MG  5G GEOLAB|7899100000000
CLOMIPRAMINA 25MG  P 344 FENATIL NEO QUIMICA|7896710000000
MEBENDAZOL 20MG/ML 30ML HELMILAB NATULAB|7898130000000
ACETILCISTEINA 200MG/5G GENERICO GRUPO EMS SIGMA PHARMA|7896000000000
ACETILCISTEINA 40 MG/ML 120ML GENERICO GRUPO EMS SIGMA PHARMA|7896000000000
DOMPERIDONA 10MG GRUPO EMS SIGMA PHARMA|7896000000000
DIPIRONA SODICA 1G 2ML SANTIDOR SANTISA|7898400000000
GLICOSE 5% 500ML  - SISTEMA FECHADO FARMACE|7898920000000
COLCHICINA 0,5MG COLCHIS APSEN|7896640000000
PENTOXIFILINA 400MG GENERICO GRUPO EMS SIGMA PHARMA|7896000000000
SINVASTATINA 40MG SANVAL|7896470000000
ALCOOL ANTI-SEPTICO 70% 1000ML  FARMAX|7896900000000
CLOPIDOGREL BISSULFATO 75MG GENERICO AUROBINDO|7896000000000
FITOMENADIONA 10MG/ML - 0,2ML IM ROCHE|7898120000000
SUXAMETONIO 100MG SUCCINIL COLIN UNIAO QUIMICA (S.P)|7896010000000
HIDROXIDO FERRICO 100MG/5ML UNIAO QUIMICA|8902340000000
FITOMENADIONA 10MG/ML 0,2ML IM ROCHE|7898120000000
NALOXONA 0,4MG/ML (C1) CRISTALIA|7898120000000
SUXAMETONIO 100MG BLAUSIEGUEL|7896010000000
GLICOSE 10% 500ML HALEXISTAR|7898150000000
HIDROXIDO FERRICO 100MG/5ML SUCROFER CLARIS|8902340000000
MIDAZOLAM 15MG/3ML (B1) GENERICO CISTALIA|7898120000000
NALOXONA 0,4MG/ML (C1) GENERICO CRISTALIA|7898120000000
SUXAMETONIO 500MG SUCCINIL COLIN UNIAO QUIMICA (S.P)|7896010000000
IPRATROPIO 0,25MG/ML FR 20ML GENERICO PRATI DONADUZZI|7898470000000
KEPPRA 250MG 30CPR P.M.C. 54.00|5413790000000
CLOR PAROXETINA 20MG 30CPR BIOSINTETICA P.M.C. 134.25|7896180000000
KEPPRA 250MG 60CPR P.M.C. 134.98|5413790000000
PREGABALINA 150 MG C/30|7891720000000
PREGABALINA 75 MG C/30|7891720000000
RABEPRAZOL SODICO 20MG C/28|7897600000000
NISTATINA CREME VAGINAL 25.000 UI|7896710000000
XTANDI 40MG 120CPR|7899340000000
PYRIDIUM 200MG C 18 CPRS P.M.C. 17.26|7892950000000
NEO SPOON 400G|5016530000000
ADCETRIS 50MG PO LIOF INJECAO|7896640000000
MINILAX BISNAGAS|7891320000000
HUMALOG 100-UI MIX 25 2X3 ML|7896380000000
AZOPT OFTAL.5 ML|7896550000000
ARCALION 200 MG DRG C/20|7898030000000
DESVE 50MG C/30 COMP|7891320000000
VENLIFT OD 75MG 30 CPD C1|8903860000000
DIMORF 10 MG CPR C/50 B1|7896680000000
TOFRANIL 75MG|7896260000000
RASILEZ 150MG C/28 CPD|7896260000000
LUMIGAN COL 5MG|7897320000000
SUCCINATO DE METOPROLOL 50MG|7898950000000
BISOPROL 2,5MG C/30|7896000000000
MIRTAZAPINA 30MG (AUROBINDO)|7898360000000
CEFALEXINA 500 MG|7896010000000
BESILATO ANLOD 10 MG CPR C/30 (NQ)|7896710000000
ALBENDAZOL 40MG/ML -SOLUCAO ORAL COM 10ML|7898150000000
GLICOSE 5% - 250ML - FRESENIUS|7897950000000
AGUA DESTILADA 250ML - FRESENIUS|7897950000000
AGUA DESTILADA 100ML - FRESENIUS|7897950000000
HEPARINA SODICA 5000 UI / 0,25 ML (SUBCUTANEA)  - CRISTALIA|7896680000000
AGUA DESTILADA 10ML - FARMACE|7898170000000
ENOXAPARINA 60MG - MYLAN|7897410000000
CARVEDILOL 12,5 - BIOLAB|7896110000000
AGUA DESTILADA 10 ML  COM LAUDO DE QUALIDADE E VALIDADE COM 80 % A CUMPRIR.|7898420000000
AGUA DESTILADA500 ML - COM LAUDO DE QUALIDADE E VALIDADE COM 80 % A CUMPRIR.|7897950000000
CLORETO DE SODIO 0,9% - 10ML - COM LAUDO DE QUALIDADE, CARIMBO DE PROIBIDO A VENDA AO COMERCIO E VALIDA|7898170000000
RANITIDINA, CLORIDRATO DE 150MG - COM LAUDO DE QUALIDADE E VALIDADE COM 80 % A CUMPRIR.|7896860000000
NISTATINA  25.000UI/G 60G|7898150000000
SACCHAROMYCES BOULARDII - 17 LIOFILIZADO 100MG - CIFARMA|7898160000000
AGUA DESTILADA 10ML - SAMTEC|7898420000000
CLORETO DE SODIO 0,9% 10ML - FARMACE|7898170000000
HEPARINA SODICA 5000 UI / ML - 5 ML - BLAU|7896010000000
ENOXAPARINA 20MG - MYLAN|7897410000000
EFEDRINA 50MG - CRISTALIA|7896680000000
ACETILCISTEINA 200MG - GEOLAB|7899100000000
POLIESTIRENO SULFONATO DE CALCIO 30G - EUROFARMA|7891320000000
ERGOMETRIN 0,2MG/ML 1ML AP|7896010000000
CALNATE 30G EV|7891320000000
NITROGLICERINA 5 MG/ML  INJETAVEL - CRISTALIA|7896680000000
HALOPERIDOL 2MG/ML 20ML - UNIAO QUIM|7896010000000
HEPARINA SODICA 5000 UI/ML 5 ML - COM LAUDO DE QUALIDADE, CARIMBO DE PROIBIDO A VENDA AO COMERCIO E|7896680000000
HEMOFOL 5.000UI/ML 5ML FA|7896680000000
AGUA DESTILADA 500ML - FRESENIUS|7897950000000
HEPARINA SODICA 5.000UI/ML 5ML BLAU|7896010000000
BUDESONIDA 0,25MG/ML 2ML FR|7896210000000
DEXLANSOPRAZOL 30MG CA|7896640000000
METALYSE 40MG + DILUENTE FA + DIL|7896030000000
NALBUFINA 10MG/1ML - HIPOLABOR|7898120000000
SEVOFLURANO 250ML - BIOCHIMICO|7897410000000
MUCOBRONQ 50MG/ML 100ML AD FR|7898130000000
HIDROXIETILAMIDO 6% 130/0.4 BOLSA 500ML HIDROXIETILAMIDO (130/04) 60,0G/CLORETO DE SODIO 9,0 G/ AGUA P/ INJECAO QSP 1000|7897950000000
FENTANILA 78,5MCG/ML C/2ML, CITRATO FENTANILA 78,5MCG/ML C/2ML,CITRATO  - AMPOLA|7898120000000
CLOPIDROGREL 75 MG - NOVAQUIMIC|7895300000000
SORO FISIOLOGICO 0,9% 500ML FR (ITEM: 3)|7897950000000
SORO FISIOLOGICO 0,9% 500ML FR (ITEM: 4)|7897950000000
ISOSSORBIDA, MONONITRATO 20MG - COMPRIMIDO|7896180000000
VECASTEN 30CPR|7896230000000
GLICOSE 25% 10ML *|7898170000000
CLOPIDOGREL 75MG CX C 30 COMP|7898570000000
CLORETO DE POTASSIO 6%  60MG ML 100ML|4066613
SORO FISIOLOGICO 0,9% 100ML CX C 100 BOLSA|7898170000000
*TOPIRAMATO 50MG CX C 60 COMP (C1) (G)|7898930000000
TROPICAMIDA 1% COLIRIO 5ML (CICLOMIDRIN)|7896180000000
CLORIDRATO DE NALOXONA 0,4MG/ML 1ML  [LISTA C1] HIPOLABOR|7898120000000
RINGER C/ LACTATO 500ML SIST. FECHADO  FRESENIUS|7897950000000
GLICOSE ANIDRA 5%  100ML  SIST. FECHADO 50 MG/ML IV HALEXLSTAR|7896730000000
DOMPERIDONA  10 MG NOVA QUIMICA|7895300000000
CLORIDRATO DE ONDANSETRONA DI-HIDRATADO 4MG/2ML  IV/IM HALEXLSTAR|7896730000000
CLORIDRATO DE TRAMADOL 50MG/ML 2ML  [LISTA A2] HALEXLSTAR|7896730000000
HIDROXIDO  DE ALUMINIO 100ML  SUSP   (HALOXIN) IFAL|7898020000000
CLORETO DE POTASSIO 6% 100ML (IONCLOR) PRATI DONADUZZI PRATI  DONADUZZI|7898150000000
AMOXICILINA +CLAVULANATO DE POTASSIO 500MG+100MG (DOCLAXIN) S/DIL BLAUSIEGEL|7896010000000
MONONITRATO DE ISOSSORBIDA 20MG (MONOCORDIL) BIOSINTETICA|7896180000000
MALEATO DE METILERGOMETRINA 0,2MG/ML 1ML (ERGOMETRIN)  [LISTA D1] UNIAO QUIMICA|7896010000000
FENITOINA SODICA 5% 50MG/ML 5ML  [LISTA C1] HIPOLABOR|7898120000000
CLORIDRATO DE NALBUFINA 10MG/ML1ML  [LISTA A2] HIPOLABOR|7898120000000
CLORETO DE SODIO 0,9% 250ML SISTEMA FECHADO SORO FISIOLOGICO FRESENIUS|7897950000000
HIDROXIDO  DE ALUMINIO 100ML  SUSP (HALOXIN)  IFAL|7898020000000
ENOXAPARINA SODICA 60MG/0,6ML + SIST SEGURANCA (CUTENOX)  MYLAN|7898560000000
ENOXAPARINA SODICA 20MG/0,2ML + SIST SEGURANCA (CUTENOX) MYLAN|7898560000000
SULFATO DE MAGNESIO  50% 10ML ISOFARMA|7898360000000
BUTILBROMETO DE ESCOPOLAMINA 20MG/1ML HIOSCINA HIPOLABOR|7898120000000
ENOXAPARINA SODICA 40MG/0,4ML  S/TRAVA DE SEGURANCA (CUTENOX) MYLAN|7898560000000
POLIESTIRENOSSULFONATO DE CALCIO 900 MG/G 60 ENV 30G  (CALNATE) EUROFARMA|7891320000000
SULFATO DE MAGNESIO  10% 10ML SAMTEC|7898420000000
ACETILCISTEINA 120 MG/G 5G (600MG) (CISTEIL) SABOR LARANJA GEOLAB|7899100000000
VASELINA SOLIDA 25G FARMAX|7896900000000
HIDROXIDO  DE ALUMINIO 100ML -HOSP- MARIOL|7898570000000
ADRENALINA EPINEFRINA (ADREN) 1MG ML 1ML IM IV SC HIPOLABOR|7898120000000
SAIS PARA REIDRATACAO ORAL ( ASSOCIADO )|7898130000000
OLEO MINERAL  PURO 100 ML|7898920000000
DIPROPIONATO DE BETAMETASONA + FOSFATO DISSODICO 5:2MG SOL.INJ. 1ML|7898560000000
BUTILBROMETO DE ESCOPOLAMINA +DIPIRONA 4MG+500MG/ML 5ML|7898120000000
DOBUTAMINA CLORIDRATO 12,5 MG/ML  20 ML|7896110000000
ENOXAPARINA SODICA  40 MG SOL. INJ. 0,4ML|7898560000000
ENOXAPARINA SODICA  20MG 0,2ML SOL. INJ.|7896680000000
DECANOATO DE HALOPERIDOL 50 MG/ML 1ML|7896010000000
GLICOSE  25% SOL. INJ.  10ML|7898170000000
HEPARINA SODICA 5.000UI/0,25ML SUB-CUTANEA|7896680000000
SULFATO DE MAGNESIO SOL. INJ. 50%  SOL. INJ.10ML|7898120000000
FENTANIL 50MCG/ML SOL. INJ. 10ML|7898470000000
LEVOXIN 750 MG C/ 5 CP REV|7896640000000
SORINE SSC JATO CONT. 100ML|7896660000000
SORO FISIOLOGICO 500ML FARMAX|7896900000000
ABRILAR 7 MG/ML XPE 100 ML|7898040000000
RILAN 2 % SOL NASAL 15 ML|7897660000000
NEOSORO AD 30 ML|7896710000000
PROCTYL PM 30G+10AP|7896640000000
CARLIT XR 450MG CX 30 COMP|7899420000000
BESILATO DE ANLODIPINO 10MG 30CP|7899550000000
LACTO PURGA 5 MG C/ 6 CP REV|7896090000000
BESILATO DE ANLODIPINO 5MG 30CP|7896110000000
ALCOOL ETILICO 70%, SEM PERFUME, EMBALAGEM RESISTE|7897880000000
FIO PROLENE 2-0 AG.CIL. 25 CM FECHAMENTO - GERAL|7898250000000
FIO LINHO 0 AG.CIL. 30 CM - GASTROINTESTINAL|7898250000000
FIO SEDA PRETA 8-0 - OFTALMOLOGIA|7898250000000
DICLOFENACO SODICO 50MG|7896200000000
TRIMETOPRIMA + SULFAMETOXAZOL 200MG + 40MG|7896110000000
AGUA OXIGENADA 10VOL 1000ML FR|7896900000000
CUTENOX 40MG/0,4ML SUB/IV C/DISP.SEG SG|7898560000000
DOBUTAMINA 12,5MG/ML SOL. INJ. 20ML.|7896110000000
DIGOXINA COMPRIMIDO 0,25MG|7896110000000
RUVASCOR 10 MG|7896000000000
ROSUSTATIN 20 MG CPR C/30|7895300000000
FLAVONID 450+50 MG CPR|7896710000000
VENLIFT OD 75 MG CAPS C/30 (C1)|8903860000000
CITAFORIN 20 MG CPR C/30 (C1)|7896000000000
BIMAGAN 0,3 MG OFT 5ML GEOLAB|7894920000000
VENLIFT OD 150 MG CAPS C/30 (C1)|8903860000000
LUMIGAN 0.03% SOL OFT 3ML|7897320000000
DECANOATO DE HALOPERIDOL 7052MGML 1ML SOLINJIM -|7896010000000
SIMETICONA 40 MG C/20 CP GEN MED.|7896860000000
DIMEZIN 40 MG 20 CP SIMETICONA TEU.|7896110000000
DEXASON 4 MG 10 CP DEXAMETASONA TEU *S*|7896110000000
DIMETICONA (SIMETICONA) 75MG GTS|7898470000000
DEXAMETASONA 1MG/G 10GR|7898150000000
SALBUTAMOL 0,5MG/ML 1ML CX C/ 100 AMP - HIPOLABOR|7898120000000
ADRENALINA INJ (EPINEFRINA-EFRINALIN) 1MG/ML AMPOLA 1ML - HIPOLABOR|7898120000000
ENOXAPARINA (ENOXALOW) 20MG INJ CX 10 SER PRE-ENCH 0,2ML IV|7896010000000
MORFINA 10MG/ML,SULFATO INJ (ITEM GENERICO) - HIPOLABOR|7898120000000
AMPICILINA 500MG F/A S/DIL. GEN TEUTO|7896110000000
CLORETO DE SODIO 0,9% 10ML AP FARMACE (ITEM: 2)|7898170000000
CLOR TRAMADOL (A2) 50MG C/10CAPS (GER)|7896000000000
CEFPIMA PO P/ SOL. INJ. 1 G|7896110000000
